Date,Ticker,Name,Close,Setup,Status,Entry_Low,Entry_High,Breakout_Trigger,Stop_Loss,Notes
2026-01-19,BTC-USD,Bitcoin,92749.656,Pullback (POTENZIALE),WAIT_MOMENTUM,91202.367,92741.699,99566.698,86152.52,"Bias: BULL (score 2-1) ADX strong; In pullback zone (d30=0.35ATR, d50=0.18ATR); RSI=52.5 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: MACD>Signal; Azione: pullback POTENZIALE -> attendi base/turn (momentum) o breakout"
2026-01-19,STMMI.MI,Stmicroelectronics,23.15,Pullback (POTENZIALE),WAIT_MOMENTUM,22.824,23.294,25.234,21.133,"Bias: BULL (score 3-1) ADX strong; In pullback zone (d30=0.14ATR, d50=0.68ATR); RSI=49.9 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Azione: pullback POTENZIALE -> attendi base/turn (momentum) o breakout"
2026-01-19,A2A.MI,A2A,2.478,Trend (no pullback) - range dip,HOLD,2.354,2.384,2.61,2.348,"Bias: BULL (score 4-0); Not in pullback zone (d30=2.53ATR, d50=2.77ATR); RSI=67.2 (Up); Stoch trend=Down; MACDH trend=Down; Momentum: some UP/turning; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,AZM.MI,Azimut Holding,37.02,Trend (no pullback) - range dip,HOLD,35.638,36.104,39.085,35.022,"Bias: BULL (score 3-1); Not in pullback zone (d30=1.73ATR, d50=2.72ATR); RSI=64.6 (Down); Stoch trend=Up; MACDH trend=Down; Momentum: some UP/turning; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,BMED.MI,Banca Mediolanum,19.51,Trend (no pullback) - range dip,HOLD,19.158,19.388,20.531,18.522,"Bias: BULL (score 3-1); Not in pullback zone (d30=0.72ATR, d50=1.93ATR); RSI=54.9 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,BPE.MI,Bper Banca,12.08,Trend (no pullback) - range dip,PREPARE,11.426,11.59,12.802,11.381,"Bias: BULL (score 3-1) ADX strong; Not in pullback zone (d30=2.45ATR, d50=4.18ATR); RSI=69.2 (Down); Stoch trend=Up; MACDH trend=Down; Momentum: some UP/turning; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,BPSO.MI,Bp Sondrio,17.4,Trend (no pullback) - range dip,PREPARE,16.423,16.665,18.477,16.358,"Bias: BULL (score 3-1) ADX strong; Not in pullback zone (d30=2.47ATR, d50=4.24ATR); RSI=69.1 (Down); Stoch trend=Up; MACDH trend=Down; Momentum: some UP/turning; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,CPR.MI,Campari,5.782,Trend (no pullback) - range dip,PREPARE,5.641,5.763,6.318,5.263,"Bias: BULL (score 2-1); Not in pullback zone (d30=0.46ATR, d50=0.36ATR); RSI=53.9 (Down); Stoch trend=Up; MACDH trend=Up; Momentum: some UP/turning; Confirm flags: SAR, MACD>Signal, MACDH Up; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,DIA.MI,Diasorin,74.86,Trend (no pullback) - range dip,HOLD,68.807,70.227,81.147,68.503,"Bias: BULL (score 3-1) ADX strong; Not in pullback zone (d30=2.63ATR, d50=2.83ATR); RSI=72.3 (Up); Stoch trend=Down; MACDH trend=Down; Momentum: some UP/turning; Confirm flags: MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,ENEL.MI,Enel,9.125,Trend (no pullback) - range dip,HOLD,8.971,9.071,9.569,8.695,"Bias: BULL (score 3-1) ADX strong; Not in pullback zone (d30=0.73ATR, d50=1.61ATR); RSI=53.8 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
